euphemism,mean
黑乐色,黑人是垃圾
批,辱骂对方或者指代性器官
恶心,令人作呕
黑女,黑色人种的女性
猪,像猪一样愚蠢
仙女,对方非常娇柔，令人讨厌
智障,对方愚蠢至极
强奸,利用强奸罪诬告
黑吹,无脑吹捧黑人的人
原,喜爱玩原神的玩家，侮辱对方无脑
普信女,嘲讽自恋的女性
幕刃,母人
崇洋媚外,无脑喜爱来自外国事物的人
反同,同性恋群体
txl,同性恋群体
黑鬼,侮辱黑人
染艾,患上艾滋病
男同,男同性恋群体
歪果仁,外国人
蝈女,中国的女性
骚,卖弄风骚
鬼话,假话
鸡,从事卖淫活动的女性
吊,男性的性器官
郭女,中国的女性
精神病,精神有问题的人
黑非洲,来自非洲的黑人
黑猩猩,像猩猩一样的黑人
烂裤裆,滥交和私生活混乱的人
类人,同性恋群体
基佬,男同性恋群体
默,像狗一样的黑人
郭南,中国的男性
狗,像狗一样低贱
跪舔,不顾尊严的讨好别人
棒子,韩国人
奴隶,像奴隶没有尊严的人
肖万,歧视黑人
辣鸡,垃圾
黑醋,黑人畜生
eg,容易和黑人发生性关系的女生
nt,对方像脑瘫和弱智
双标,对方双重标准
女拳,宣扬女权主义的人
嘴炮,喜爱谩骂和攻击的网络喷子
拳师,宣扬女权主义的人
人猿,像猿猴一样低级的人
锅女,中国的女性
直佬,性取向正常的男性
偷井盖,河南人
媚黑,谄媚和喜爱黑人
通讯录,同性恋群体
嗨人,黑人
虫混,像虫子一样的黑人
恐同,对同性恋表示恐惧和厌恶
反黑,反对黑人，种族歧视黑人
三非,违法定居中国的黑人
南蛮,野蛮的少数民族
普信,自恋
孽,孽种
龟仙人,像乌龟一样低贱
gay,男同性恋群体
七尺大儒,让人感到侮辱
同杏恋,同性恋群体
牛马,社会地位低下的人
串串,反串抹黑的人
黑贵,黑人
南满,少数民族
废物,对方非常没用
白左,白人的左派群体
黑比,黑人傻逼
变态,无
蛆,无
母畜,女性
吉拔,男性生殖器
嘿枸,像狗一样的黑人
奇趣蛋,肥胖的女性
尼玛,你妈
凯乐奇,犹太人的人种灭绝计划
同志,男同性恋群体
撑同,支持同性恋
烧鸡,卖弄风骚的女人
黑哥,黑人
犬男,狗男人
脑瘫,脑子有问题
草,与某人性交
昆仑奴,黑人奴隶
媚白,谄媚和喜爱白人
蠢,无
嘿嘿,性活动
easygirl,容易和黑人发生性关系的女生
木勾,狗女人
傻子,无
下头,令人恶心
打拳,宣扬女权主义
黑砸,黑人杂种
百越,南方的少数民族
女犬,狗女人
玩具,性活动辅助工具
国楠,中国男性
黑皮,黑人
呸,无
飞周人,非洲人
田园女权,宣扬女权主义的人
高卢乌鸡,法国人
龟男,低贱的男人
非洲佬,非洲人
嘿畜,黑人畜生
小黑,黑人小孩
僵尸,得艾滋病的同性恋
母沟,狗女人
墨,狗黑人
猩猩,像猩猩的黑人
虫类,像虫子的黑人
歪果,外国人
黑爹,黑人爸爸
妓女,无
弯弯,台湾人
九头鸟,湖北人
垃圾,无
孝子,无
蛮,藏族人，野蛮人
洋垃圾,像垃圾的外国人
黑犬,像狗一样的黑人
混黑,混血的黑人
嘿砸,黑人杂种
乞丐,无
女厕所,滥交的女人
援交,上门卖淫的人
鼠鼠,老鼠
爆杀,无
货色,不好的人
炼铜,恋童
小屁孩,无
嘿爹,黑人爸爸
黑娃娃,黑人小孩
黑男,黑人男性
喃蛮,野蛮的南方的少数民族
炮友,性伴侣
虫族,像虫子一样的黑人
圣母,圣母心的女性
伞兵,傻逼
黑虫,像虫子一样的黑人
慰安妇,军队中的性服务者
苟,狗
sao,骚
妈的,无
嘿贵,黑人
窑姐,卖淫的女人
sb,傻逼
母拳,宣扬女权主义的人
硅南,乌龟一样低贱的男人
特么,他妈
贱,无
ex,恶心
吸血虫,无
诡雷,无
鸡老,男同性恋群体
男童,男同性恋群体
黑黑,黑人
老鼠,无
活该,无
男拳,宣扬男权主义的人
沐勾,狗女人
ntr,自己丈夫或妻子出轨的人
屠同,杀光同性恋
白完,安徽人
南大人,南方人
金针菇,男性的性器官
尼葛,黑人奴隶
他妈,无
弱智,智力低下
乐色,垃圾
阿娜,无
黑玩意,黑人玩意儿
寄生虫,无
妈宝男,无脑顺从妈妈的男人
看片,看色情电影
÷剩,畜生
杂皮,杂种外国人
hr,黑人
南宋人,无
小丑,无
腐女,喜爱看同性恋作品的女性
杂种,无
鲍鱼,女性的性器官
毛子,俄罗斯人
煤精,高级煤炭
捧杀,无
人造子宫,无
阿三,印度人
几把,男性的性器官
爪牙,无
亩人,母人
鲨鼻,傻逼
pua,搭讪艺术家，控制伴侣的人
牧人,母人
婊,妓女
蛀虫,社会蛀虫
屎,无
白楠,白人男性
黑杂,黑人杂种
小日本,日本人
黑猴子,越南人
墨人,像狗一样的黑人
女贼,女子
慕勾,狗女人
傻逼,无
黑小子,黑人小孩
击佬,男同性恋群体
厌女,讨厌女性
猴子,越南人，菲律宾人
口区,呕吐
亩篝,狗女人
loser,失败者
白皮,白人
绿帽,妻子出轨的男人
网暴,网络暴力
鬼子,日本人，美国人
龟奴,像乌龟一样低贱
fw,废物
鬼母,吃人的魔女
跪洋,跪舔外国人
巨婴,没脑子的成年人
牲口,畜生
喷子,喜爱谩骂和攻击的网络喷子
渣子,社会地位低下的人
lkd,烂裤裆，滥交的女性
狗屁,无
贵物,怪物
跪族,跪舔外国人
÷女,处女
杂碎,无
败类,无
舔黑,跪舔黑人
tm,他妈的
艹,与某人性交
奴才,像奴隶没有尊严的人
嘿玩意,黑人玩意儿
拳虱,宣扬女权主义的人
默人,像狗一样的黑人
jb,男性的性器官
瞎,无
母朱,母猪
ltp,恋童癖
飞周,非洲
啪啪,性活动
黑叔叔,黑人叔叔
姆搐,母畜
瘪三,社会地位低下的人
亩,母人
乡巴佬,乡下人
泥娃娃,黑人小孩
腐癌,喜爱看同性恋作品的女性
蝈腩,中国的男性
崽子,小孩
人妖,变性人
坦克,肥胖的女性
法西斯,无
h人,黑人
娘们,低贱女人
超市,草死
驴,无
色色,发生性关系
色狼,无
蛋蛋,男性的睾丸
泥鸽,黑人奴隶
色胚,色狼
蝻,中国的男性
飞舟,非洲
站街女,妓女
黑粪,像屎一样的黑人
@,中国的女性
菊花,肛门
寄吧,男性的性器官
ezg,容易和黑人发生性关系的女生
薇安妇,慰安妇，军队中的性服务者
娘炮,没有男子气概的男人
妈宝女,一味顺从妈妈的女人
黑混,混血的黑人
美国佬,美国人
反三非,反对非法定居的黑人
西八,混蛋
蛮子,野蛮的少数民族
神经,无
qj,强奸
哥布林,身材矮小，相貌丑陋
艾兹佬,得艾滋病的同性恋
表子,妓女
艾基,得艾滋病的同性恋
一棒子打死,无
慕√,狗女人
给爷爬,无
北佬,北方人
魔怔,无
恶熏,恶心
满子,满族人
黑沙口,傻逼黑人
煞笔,傻逼
嘿砸肿,黑人杂种
傻B,傻逼
洋大人,外国人
猎默,杀死像狗一样的黑人
zz,智障
,畜生
烂裤子,妓女
杠精,喜欢抬杠的人
棒女,韩国女人
亩刃,母人
黑不溜秋,特别黑的黑人
男铜,男同性恋群体
n哥,黑人奴隶
反铜,反对同性恋
tmd,他妈的
你他妈的,无
嘿硅,黑人鬼子
国铝,中国女人
姆坦,肥胖的女人
呆子,呆笨的人
黑族,黑人种族
眼瞎,无
丁丁,男性的性器官
巴铁,巴基斯坦人
湾湾,台湾人
杀默,杀死像狗一样的黑人
xdz,小吊子
畜生,无
倪格,黑人奴隶
泥搁,黑人奴隶
倪哥,黑人奴隶
二极管,思想极端的人
烂货,烂人
慕刃,狗女人
\鬼,黑人鬼子
倭,日本人
\杂,黑人杂种
母坦,特别胖的女人
傻卵,傻逼
小日子,小日本
黄油,色情游戏
吉尔,男性的性器官
红脖子,美国工人
瘠薄,男人的性器官
猪精,无
黑子哥,黑人
魄,白人鬼子
织女,妓女
弱指,弱智傻子
杂毛,杂种外国人
傻*,傻逼
屠默,屠杀像狗一样的黑人
p事,屁事
nigger,黑人奴隶
钼刃,像狗一样的女人
陕蛋蛋,陕西人
黑命贵,黑人
小受,同性恋群体
pussy,屁眼
畜牲,无
泥革,黑人奴隶
nm,你妈的
田园表,宣扬女权主义的婊子
命贵,黑人
三哥,印度人
粪,无
骑兵,有马赛克的色情电影
卖肉,传播淫秽物品
小鸟,男性的性器官
社保,射爆
牛头人,日本色情电影
开导,男性自慰
呕呕,呕吐
你妈,无
太烧了,太卖弄风骚了
修车,卖淫
吴涛,不戴安全套
橄榄,干烂
嗯了,男性的性器官勃起
想太阳,男性产生性冲动
大雕,巨大的男性性器官
导管,男性自慰
手冲,男性自慰
观鸟,观看男性的性器官
想透,产生性冲动
无码,没有马赛克的色情电影
烧杯,卖弄风骚的女人
牛子,男性的性器官
苕皮,卖弄风骚的女人
迪克,男性的性器官
鸡吧,男性的性器官
鸡鸡,男性的性器官
鸿儒,发生性行为
打飞机,男性自慰
卖银,卖淫嫖娼
钙片,男同性恋发生性活动的电影
脐橙,一种性交的体位
步兵,没有马赛克的色情电影
擦边,裸露身体和卖弄性感
卖腐,传播淫秽的同性恋作品
白莲,女人
打给你,对你自慰
熊孩子,不听话的小孩
小电影,色情电影
本子,日本人
应召,上门卖淫
外围,高级妓女
有码,有马赛克的色情电影
小粉红,极端爱国的网友
日杂,日本杂种
五毛,极端爱国的网友
小鬼,阴阳怪气的网友
美分,热爱美国的网友
吃枣药丸,迟早要完蛋
放屁,无
暴毙,突然死亡
漂亮国,美国
兔友,爱国的中国人
神友,阴阳怪气的人
东夷,东边的少数民族
凯勒奇计划,犹太人的人种灭绝计划
这b,这个傻逼
中华田园犬,中国的土狗
信誉,性欲
